PDB,KD1,KD2,Initials,Notes
5awi,na,na,LL,
3k0e,na,na,LL,
2oqe,na,na,LL,
3k0a,na,na,LL,
3k09,na,na,LL,
3s1a,na,na,LL,
3k0c,na,na,LL,
2yd0,414.8,537.1,LL,"Kd1: int2, Kd2: int 1"
5fb5,na,na,LL,
3jzm,na,na,LL,
4fed,na,na,LL,
4hkr,na,na,LL,
4-Feb,na,na,LL,
5yg9,673.4,2035.7,LL,"Kd1: int 3-4, Kd2: int 1-2"
4hks,na,na,LL,
5yfv,672.2,2032,LL,"Kd1: int 3-5, Kd2: int 1-2"
2uvb,na,na,LL,PDBePISA could not find
5yga,671.3,2032.2,LL,"Kd1: int 3-5, Kd2: int 1-2"
2uv9,na,na,LL,PDBePISA could not find
5yg8,659.1,2036.7,LL,
1vrg,1243.2,4721.3,LL,
6g20,na,na,LL,
3lg1,na,na,LL,
4yb5,1288,1180.9,LL,
5yfu,662.1,2029,LL,
5yg5,827.7,2065.5,LL,
5yg6,827,2063.7,LL,
5yg7,805.1,2136.4,LL,
2v8t,na,na,LL,
4q0g,761.6,3996.7,LL,
1o9i,na,na,LL,
4ijm,na,na,LL,
1jku,na,na,LL,
6zva,na,na,LL,
3n54,676.7,2246.5,LL,
6es8,na,na,LL,
5f8c,na,na,LL,
5f8f,na,na,LL,
5yfw,659.5,2030.1,LL,
5ys8,na,na,LL,
1jkv,na,na,LL,
4o0m,na,na,LL,
6ggu,608.5,3690.8,LL,
4jjg,608.9,3755.7,LL,
5yfs,679.2,2051.7,LL,
5zug,na,na,LL,
4i52,1266.9,2026.93,LL,
4kss,na,na,LL,
5yfj,686.3,2045.4,LL,
4dug,na,na,LL,
4i4z,1249.9,2203.2,LL,
3b85,na,na,LL,
6ojm,1661.2,2056,LL,
5gor,570.5,3252.9,LL,
6bma,408.3,2144,LL,
6vkv,na,na,LL,
2gbl,na,na,LL,
6h09,na,na,LL,
1u9i,na,na,LL,
6ot8,191.65,594.4,LL,"Kd2: int 1, Kd1: int 4,5"
4ppi,547.8,3216.5,LL,"Kd1: int 4, Kd2: int 1"
2cb8,na,na,LL,
4k6t,na,na,LL,
3t88,na,na,LL,
4nt5,226.4,446.7,LL,"Kd1: Int 3, Kd2: int 2"
5fb4,na,na,LL,
2uzf,na,na,LL,
1q51,1280.1,1710.4,LL,"Kd1: int13,19,20-24, Kd2: int 1,3,4"
3dvl,na,na,LL,
6axy,na,na,LL,
5ys3,na,na,LL,
3iou,na,na,LL,
4rcn,na,na,LL,
2xdv,584.8,3148.3,LL,"Kd1: int 2, Kd2: int 1"
2ete,na,na,LL,
2et7,na,na,LL,
4rjt,687.2,2686.3,LL,"Kd1: Int 3-5, Kd2: int 1-2"
6uxm,na,na,LL,
2h08,na,na,LL,
6c4k,670.4,2729.9,LL,"Kd1: int 3-5, Kd2: int 1-2"
4i42,1425.1,2230.8,LL,"Kd1: int 13,16, 21-24, Kd2: int 2,3,6"
6r5y,na,na,LL,
2cwl,10.73,3797.6,LL,"Kd1: int 2-4, Kd2: int 1"
2h07,249.9,1709.3,LL,"Kd1: int 4-5, Kd2: int 1-2"
6f7k,na,na,LL,
4hxg,na,na,LL,
2et1,na,na,LL,
7e4g,93.4,214.4,LL,"Kd1: int 66-68, Kd2: int 23,24"
4wco,na,na,LL,
2iex,1181.9,1646.3,LL,"Kd1: int 5-7, Kd2: int 1,2"
1izc,1153.1,1919.4,LL,"Kd1: int 2-3, Kd2: int 1"
1fi2,na,na,LL,
3k0f,na,na,LL,
2hcr,259.1,1750.7,LL,"Kd1: int 4,5, Kd2: int 1,2"
3d7i,560.2,1340.1,LL,"Kd1: int 3-5, Kd2: int 1-2"
4eml,1214,1688.4,LL,"Kd1: int 7-12, Kd2: 1-3"
2d16,820.6,1744.6,LL,"Kd1: 6, Kd2: int 1-2"
2h06,250.9,1730.8,LL,"Kd1: int 5,6, Kd2: int 1,2"
3qu6,408.7,648.5,LL,"Kd1: int 3-5, Kd2: int 1-2"
5fei,na,na,LL,
5wxu,2959.2,2715.2,LL,"Kd1: int 1-6, Kd2: int 7-9"
5ok4,742.5,3699.8,LL,"Kd1: int 2,3, Kd2: int 1"
6r8c,na,na,LL,
3t8a,1260.8,1329.1,LL,"Kd1: int 3-5, Kd2: int 1-2"
5dip,na,na,LL,
2g13,na,na,LL,
3o9p,na,na,LL,
4mml,na,na,LL,
4m0p,258.4,1762.5,LL,"Kd1: int 4,5, Kd2: 1-2"
6kk8,1113.8,3928.5,LL,"Kd1: int 2-4, Kd2: int 1"
1q52,1264.4,1736.8,LL,"Kd1: int 13,16,17,19,20,24, Kd2: int 2,4,5"
5tk8,na,na,LL,
5tk7,na,na,LL,
4dyb,na,na,LL,
1tf7,na,na,LL,
4lyg,259,1751.8,LL,"Kd1: int 4-5, Kd2: int 1-2"
5n7r,na,na,LL,PDBePISA could not find
3mvq,na,na,LL,PDBePISA could not find
4m0u,268.5,1725,LL,"Kd1: int 4-5, Kd2: int 1-2"
4lzo,251.5,1724.4,LL,"Kd1: int 4-5, Kd2: int 1-2"
5tk9,na,na,LL,
1dxe,749.5,1493.5,LL,"Kd1: int 2,3, Kd2: int 1"
3rf5,na,na,LL,
3uk6,na,na,LL,
5tk6,na,na,LL,
